City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
5972291,Havre-St-Pierre,CA,50.2334,-63.5986,40.19,100,90,4.61
4470244,Havelock,US,34.8791,-76.9013,45.19,77,100,3.0
6137462,Saint-Augustin,CA,51.226,-58.6502,39.74,98,100,9.13
2857904,Oer-Erkenschwick,DE,51.6333,7.25,48.15,85,29,1.01
2036069,Linjiang,CN,41.8069,126.9078,29.95,82,72,10.69
5557293,Sitka,US,57.0531,-135.33,42.69,52,1,13.8
6063989,Madoc,CA,44.5084,-77.4745,35.08,91,31,2.68
2160517,Launceston,AU,-41.45,147.1667,56.71,75,75,1.01
64013,Bosaso,SO,11.2842,49.1816,84.52,47,67,13.31
1071296,Antalaha,MG,-14.9003,50.2788,83.17,67,92,13.42
669154,Răsmireşti,RO,43.9833,25.55,64.08,58,99,5.88
4752031,Charlottesville,US,38.0293,-78.4767,39.76,85,1,0.0
1736376,Kota Bharu,MY,6.1333,102.2386,84.15,84,20,6.91
2260009,Ewo,CG,-0.8725,14.8206,83.3,70,80,2.98
2022773,Khandyga,RU,62.6667,135.6,-0.11,97,100,4.72
3391387,Porto de Moz,BR,-1.7483,-52.2383,74.1,92,97,2.39
3359638,Walvis Bay,NA,-22.9575,14.5053,74.35,35,0,5.75
1271413,Gevrai,IN,19.2667,75.75,84.51,25,70,10.02
2112802,Hasaki,JP,35.7333,140.8333,60.73,66,43,19.22
141736,Bam,IR,29.106,58.357,63.52,29,2,9.13
1512064,Ak-Dovurak,RU,51.1833,90.6,20.35,57,4,1.66
5983607,Inuvik,CA,68.3499,-133.7218,16.66,92,90,4.61
6620339,Karratha,AU,-20.7377,116.8463,75.22,56,72,21.56
1254046,Tura,IN,25.5198,90.2201,74.62,71,100,2.8
2063036,Port Lincoln,AU,-34.7333,135.8667,56.53,66,55,8.48
3146487,Raudeberg,NO,61.9875,5.1352,42.73,72,80,6.2
2652618,Colchester,GB,51.8892,0.9042,45.12,88,77,5.32
245338,Am Timan,TD,11.0297,20.2827,97.38,13,8,6.11
3395458,Maragogi,BR,-9.0122,-35.2225,81.01,74,25,9.6
539511,Kuli,RU,42.0185,47.2434,44.94,29,0,3.53
3163146,Andenes,NO,69.3143,16.1194,35.58,69,40,20.71
1526168,Arys,KZ,42.4252,68.795,50.22,18,100,5.39
2517512,Fuente Palmera,ES,37.7049,-5.0996,50.95,50,32,10.36
